date,mobility_trend
2020-03-01,0.01715
2020-03-02,-0.03304
2020-03-03,-0.03535
2020-03-04,0.00151
2020-03-05,-0.03078
2020-03-06,0.03576
2020-03-07,0.00917
2020-03-08,0.04146
2020-03-09,0.00813
2020-03-10,-0.18054
2020-03-11,0.04866
2020-03-12,-0.07408
2020-03-13,0.04223
2020-03-14,-0.06978
2020-03-15,0.01021
2020-03-16,-0.06244
2020-03-17,-0.11212
2020-03-18,-0.08248
2020-03-19,-0.13504
2020-03-20,-0.08379
2020-03-21,-0.0808
2020-03-22,-0.17767
2020-03-23,-0.16529
2020-03-24,-0.1475
2020-03-25,-0.40698
2020-03-26,-0.50133
2020-03-27,-0.42127
2020-03-28,-0.4966
2020-03-29,-0.52758
2020-03-30,-0.40398
2020-03-31,-0.40346
2020-04-01,-0.38632
2020-04-02,-0.38306
2020-04-03,-0.37504
2020-04-04,-0.43174
2020-04-05,-0.54309
2020-04-06,-0.37727
2020-04-07,-0.35577
2020-04-08,-0.34619
2020-04-09,-0.43084
2020-04-10,-0.45517
2020-04-11,-0.48964
2020-04-12,-0.54584
2020-04-13,-0.41216
2020-04-14,-0.40364
2020-04-15,-0.37626
2020-04-16,-0.38006
2020-04-17,-0.35019
2020-04-18,-0.43157
2020-04-19,-0.52168
2020-04-20,-0.36936
2020-04-21,-0.3271
2020-04-22,-0.37712
2020-04-23,-0.34228
2020-04-24,-0.32068
2020-04-25,-0.40089
2020-04-26,-0.48777
2020-04-27,-0.305
2020-04-28,-0.2616
2020-04-29,-0.26544
2020-04-30,-0.29579
2020-05-01,-0.30706
2020-05-02,-0.3655
2020-05-03,-0.46565
2020-05-04,-0.30282
2020-05-05,-0.30778
2020-05-06,-0.27753
2020-05-07,-0.25541
2020-05-08,-0.17292
2020-05-09,-0.26091
2020-05-10,-0.37915
2020-05-11,-0.20924
2020-05-12,-0.16542
2020-05-13,-0.21062
2020-05-14,-0.17089
2020-05-15,-0.09494
2020-05-16,-0.16403
2020-05-17,-0.37243
2020-05-18,-0.1454
2020-05-19,-0.2163
2020-05-20,-0.19181
2020-05-21,-0.17746
2020-05-22,-0.17879
2020-05-23,-0.18977
2020-05-24,-0.43787
2020-05-25,-0.25707
2020-05-26,-0.24978
